MAIN RQ: the detection rate by each MR category
category, total_tests, passed, failed, detection_rate_%, avg_duration_ms
MONOTONICITY, 10, 10, 0, 0.0, 4.5
INHERITANCE, 10, 9, 1, 10.0, 17.4
EQUIVALENCE, 19, 10, 9, 47.4, 1876.9

SRQ1: Detection rate by each bug type
bug_type, category, tests_targeting, bugs_detected, detection_rate_%
PRIVILEGE_LEAKAGE, MONOTONICITY, 4, 0, 0.0
PERMISSION_LOSS, MONOTONICITY, 7, 0, 0.0
PRIVILEGE_LEAKAGE, INHERITANCE, 4, 0, 0.0
CYCLIC_DEPENDENCY, INHERITANCE, 1, 1, 100.0
PERMISSION_LOSS, INHERITANCE, 7, 0, 0.0
PRIVILEGE_LEAKAGE, EQUIVALENCE, 15, 8, 53.3
PERMISSION_LOSS, EQUIVALENCE, 17, 9, 52.9
CONSTRAINT_VIOLATION, EQUIVALENCE, 2, 1, 50.0

SRQ2: Computational Cost by MR Category
category, min_ms, max_ms, avg_ms, total_ms
MONOTONICITY, 1, 10, 4.5, 45
INHERITANCE, 2, 88, 17.4, 174
EQUIVALENCE, 2, 10565, 1876.9, 35662

Details for each MR
mr_id, category, result, duration_ms, bug_types
INH-07, INHERITANCE, PASS, 88, PRIVILEGE_LEAKAGE
INH-04, INHERITANCE, PASS, 48, PERMISSION_LOSS
INH-01, INHERITANCE, PASS, 2, PERMISSION_LOSS
INH-09, INHERITANCE, PASS, 6, PRIVILEGE_LEAKAGE
INH-05, INHERITANCE, PASS, 7, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
INH-10, INHERITANCE, PASS, 6, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
INH-08, INHERITANCE, PASS, 4, PERMISSION_LOSS
INH-06, INHERITANCE, PASS, 2, PERMISSION_LOSS
INH-03, INHERITANCE, PASS, 4, PERMISSION_LOSS
INH-02, INHERITANCE, FAIL, 7, CYCLIC_DEPENDENCY
EQ-02, EQUIVALENCE, PASS, 2, PRIVILEGE_LEAKAGE
EQ-08, EQUIVALENCE, PASS, 5, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
EQ-07, EQUIVALENCE, PASS, 4, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
EQ-05, EQUIVALENCE, PASS, 8, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
EQ-01, EQUIVALENCE, PASS, 3, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
EQ-04, EQUIVALENCE, FAIL, 4, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
EQ-03, EQUIVALENCE, PASS, 10, PERMISSION_LOSS
EQ-09, EQUIVALENCE, PASS, 4, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
EQ-06, EQUIVALENCE, PASS, 5, PERMISSION_LOSS
EQ-10, EQUIVALENCE, PASS, 2, PERMISSION_LOSS
MON-01, MONOTONICITY, PASS, 1, PERMISSION_LOSS
MON-10, MONOTONICITY, PASS, 8, PERMISSION_LOSS|PRIVILEGE_LEAKAGE
MON-08, MONOTONICITY, PASS, 10, PERMISSION_LOSS
MON-03, MONOTONICITY, PASS, 6, PERMISSION_LOSS
MON-06, MONOTONICITY, PASS, 3, PRIVILEGE_LEAKAGE
MON-09, MONOTONICITY, PASS, 3, PERMISSION_LOSS
MON-04, MONOTONICITY, PASS, 3, PRIVILEGE_LEAKAGE
MON-05, MONOTONICITY, PASS, 1, PERMISSION_LOSS
MON-02, MONOTONICITY, PASS, 5, PERMISSION_LOSS
MON-07, MONOTONICITY, PASS, 5, PRIVILEGE_LEAKAGE
CONC-03, EQUIVALENCE, PASS, 4449, PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION
CONC-02, EQUIVALENCE, FAIL, 6967, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-05, EQUIVALENCE, FAIL, 2608, PERMISSION_LOSS|CONSTRAINT_VIOLATION
CONC-04-R1, EQUIVALENCE, FAIL, 2301, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R2, EQUIVALENCE, FAIL, 1405, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R3, EQUIVALENCE, FAIL, 2860, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R4, EQUIVALENCE, FAIL, 2467, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R5, EQUIVALENCE, FAIL, 1993, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-01, EQUIVALENCE, FAIL, 10565, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
